id_transaccion,folio,codigo,monto,fecha,es_anomalia,es_alerta_operativa,es_senal_contexto,cluster_anomalia,senales_contexto,nivel_riesgo,score_riesgo,reglas_activadas,mensaje_alerta
737,107525,RENHAB,-3556.36,2024-11-09,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'ISU', modificado por 'CEV' (monto alto)",MEDIO,25,cancelacion_monto_alto: monto cancelado=3556.36,"Alerta tx 737 (folio 107525, cód RENHAB, monto -3556.36): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=3556.36 — | ctx: USUARIO_MODIFICACION: creado por 'ISU', modificado por 'CEV' (monto alto)"
328,66,PROPTI,-72.0,2021-03-02,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'FJL', modificado por 'NCR'",MEDIO,25,cancelacion_monto_alto: monto cancelado=72.00,"Alerta tx 328 (folio 66, cód PROPTI, monto -72.00): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=72.00 — | ctx: USUARIO_MODIFICACION: creado por 'FJL', modificado por 'NCR'"
132,143485,RENHAB,4470.48,2026-01-01,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=4470.48, z=2.85 (umbral ±2.0) para código 'RENHAB'","Alerta tx 132 (folio 143485, cód RENHAB, monto 4470.48): [MONTO_ATIPICO] — monto_atipico: monto_abs=4470.48, z=2.85 (umbral ±2.0) para código 'RENHAB'"
669,15862,RENHAB,1669.72,2021-11-16,True,True,False,DUPLICADO | CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'AGH'",ALTO,65,duplicado_exacto: 2 veces el mismo folio/código/monto/habitación/fecha | folio_alto_ratio_cancelaciones: 100% de movimientos cancelados,"Alerta tx 669 (folio 15862, cód RENHAB, monto 1669.72): [DUPLICADO | CANCELACION_SOSPECHOSA] — duplicado_exacto: 2 veces el mismo folio/código/monto/habitación/fecha; folio_alto_ratio_cancelaciones: 100% de movimientos cancelados — | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'AGH'"
112,110894,CANXFA,4575.0,2024-12-17,True,True,False,FUERA_DE_ESTANCIA,,MEDIO,35,"cargo_despues_checkout: fecha_cargo=2024-12-17, check-out=2024-12-08","Alerta tx 112 (folio 110894, cód CANXFA, monto 4575.00): [FUERA_DE_ESTANCIA] — cargo_despues_checkout: fecha_cargo=2024-12-17, check-out=2024-12-08"
717,126086,RENHAB,4712.84,2025-05-31,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=4712.84, z=3.15 (umbral ±2.0) para código 'RENHAB'","Alerta tx 717 (folio 126086, cód RENHAB, monto 4712.84): [MONTO_ATIPICO] — monto_atipico: monto_abs=4712.84, z=3.15 (umbral ±2.0) para código 'RENHAB'"
106,106575,CANXFA,600.0,2024-10-22,True,True,False,FUERA_DE_ESTANCIA,,MEDIO,35,"cargo_despues_checkout: fecha_cargo=2024-10-22, check-out=2024-10-21","Alerta tx 106 (folio 106575, cód CANXFA, monto 600.00): [FUERA_DE_ESTANCIA] — cargo_despues_checkout: fecha_cargo=2024-10-22, check-out=2024-10-21"
126,77742,RESDEP,35000.0,2023-11-30,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=35000.00, z=3.40 (umbral ±2.0) para código 'RESDEP'","Alerta tx 126 (folio 77742, cód RESDEP, monto 35000.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=35000.00, z=3.40 (umbral ±2.0) para código 'RESDEP'"
333,24759,RENHAB,4228.94,2022-03-19,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=4228.94, z=2.56 (umbral ±2.0) para código 'RENHAB'","Alerta tx 333 (folio 24759, cód RENHAB, monto 4228.94): [MONTO_ATIPICO] — monto_atipico: monto_abs=4228.94, z=2.56 (umbral ±2.0) para código 'RENHAB'"
211,80287,RENHAB,3059.67,2024-01-04,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'JLS', modificado por 'RFR' (monto alto)",MEDIO,25,cancelacion_monto_alto: monto cancelado=3059.67,"Alerta tx 211 (folio 80287, cód RENHAB, monto 3059.67): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=3059.67 — | ctx: USUARIO_MODIFICACION: creado por 'JLS', modificado por 'RFR' (monto alto)"
845,114650,PROPTI,-87.12,2025-02-01,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RM2'",MEDIO,25,cancelacion_monto_alto: monto cancelado=87.12,"Alerta tx 845 (folio 114650, cód PROPTI, monto -87.12): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=87.12 — | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RM2'"
935,16289,RENHAB,-3057.48,2021-11-19,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'LBB' (monto alto)",MEDIO,25,cancelacion_monto_alto: monto cancelado=3057.48,"Alerta tx 935 (folio 16289, cód RENHAB, monto -3057.48): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=3057.48 — | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'LBB' (monto alto)"
25,27931,CANXFA,9066.66,2022-04-26,True,True,False,FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION,,ALTO,55,"cargo_despues_checkout: fecha_cargo=2022-04-26, check-out=2022-04-22 | noches_inconsistentes: cargo=0, reserva=4.0","Alerta tx 25 (folio 27931, cód CANXFA, monto 9066.66): [FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION] — cargo_despues_checkout: fecha_cargo=2022-04-26, check-out=2022-04-22; noches_inconsistentes: cargo=0, reserva=4.0"
21,88336,CANXFA,6998.17,2024-03-30,True,True,False,FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION,,ALTO,55,"cargo_despues_checkout: fecha_cargo=2024-03-30, check-out=2024-03-27 | noches_inconsistentes: cargo=0, reserva=3.0","Alerta tx 21 (folio 88336, cód CANXFA, monto 6998.17): [FUERA_DE_ESTANCIA | CONTEXTO_RESERVACION] — cargo_despues_checkout: fecha_cargo=2024-03-30, check-out=2024-03-27; noches_inconsistentes: cargo=0, reserva=3.0"
442,111670,RENHAB,3857.1,2024-12-27,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=3857.10, z=2.10 (umbral ±2.0) para código 'RENHAB'","Alerta tx 442 (folio 111670, cód RENHAB, monto 3857.10): [MONTO_ATIPICO] — monto_atipico: monto_abs=3857.10, z=2.10 (umbral ±2.0) para código 'RENHAB'"
1231,4807,TARDEB,20176.0,2021-05-13,True,True,False,MONTO_ATIPICO | CONTEXTO_RESERVACION,"USUARIO_MODIFICACION: creado por 'KJG', modificado por 'JML' (monto alto)",MEDIO,45,"monto_atipico: monto_abs=20176.00, z=2.22 (umbral ±2.0) para código 'TARDEB' | noches_inconsistentes: cargo=0, reserva=3.0","Alerta tx 1231 (folio 4807, cód TARDEB, monto 20176.00): [MONTO_ATIPICO | CONTEXTO_RESERVACION] — monto_atipico: monto_abs=20176.00, z=2.22 (umbral ±2.0) para código 'TARDEB'; noches_inconsistentes: cargo=0, reserva=3.0 — | ctx: USUARIO_MODIFICACION: creado por 'KJG', modificado por 'JML' (monto alto)"
491,71194,EFE,1586.25,2023-09-04,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'RM2', modificado por 'RFR'",MEDIO,25,cancelacion_con_reposteo: mismo folio/código/monto tiene versión cancelada y activa el mismo día,"Alerta tx 491 (folio 71194, cód EFE, monto 1586.25): [CANCELACION_SOSPECHOSA] — cancelacion_con_reposteo: mismo folio/código/monto tiene versión cancelada y activa el mismo día — | ctx: USUARIO_MODIFICACION: creado por 'RM2', modificado por 'RFR'"
797,62466,RENHAB,-3050.1,2023-06-16,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CMG' (monto alto)",MEDIO,25,cancelacion_monto_alto: monto cancelado=3050.10,"Alerta tx 797 (folio 62466, cód RENHAB, monto -3050.10): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=3050.10 — | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'CMG' (monto alto)"
2,41349,XFAC,12768.89,2022-10-17,True,True,False,MONTO_ATIPICO | CONTEXTO_RESERVACION,,MEDIO,45,"monto_atipico: monto_abs=12768.89, z=2.28 (umbral ±2.0) para código 'XFAC' | noches_inconsistentes: cargo=0, reserva=7.0","Alerta tx 2 (folio 41349, cód XFAC, monto 12768.89): [MONTO_ATIPICO | CONTEXTO_RESERVACION] — monto_atipico: monto_abs=12768.89, z=2.28 (umbral ±2.0) para código 'XFAC'; noches_inconsistentes: cargo=0, reserva=7.0"
488,14739,PROPTI,0.0,2021-10-29,True,True,False,MONTO_ATIPICO,,MEDIO,25,"monto_atipico: monto_abs=0.00, z=-2.03 (umbral ±2.0) para código 'PROPTI'","Alerta tx 488 (folio 14739, cód PROPTI, monto 0.00): [MONTO_ATIPICO] — monto_atipico: monto_abs=0.00, z=-2.03 (umbral ±2.0) para código 'PROPTI'"
661,56488,PROPTI,79.2,2023-04-22,True,True,False,CANCELACION_SOSPECHOSA,"USUARIO_MODIFICACION: creado por 'JLS', modificado por 'CEV'",MEDIO,25,cancelacion_monto_alto: monto cancelado=79.20,"Alerta tx 661 (folio 56488, cód PROPTI, monto 79.20): [CANCELACION_SOSPECHOSA] — cancelacion_monto_alto: monto cancelado=79.20 — | ctx: USUARIO_MODIFICACION: creado por 'JLS', modificado por 'CEV'"
44,129738,CANXFA,4710.75,2025-07-15,True,True,False,FUERA_DE_ESTANCIA,,MEDIO,35,"cargo_despues_checkout: fecha_cargo=2025-07-15, check-out=2025-07-12","Alerta tx 44 (folio 129738, cód CANXFA, monto 4710.75): [FUERA_DE_ESTANCIA] — cargo_despues_checkout: fecha_cargo=2025-07-15, check-out=2025-07-12"
