id_transaccion,folio,codigo,monto,fecha,es_anomalia,cluster_anomalia,nivel_riesgo,mensaje_alerta,reglas_activadas,score_riesgo
481,127091,PROPTI,58.08,2025-06-09,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 481 (folio 127091, código PROPTI, monto 58.08): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'DOB', modificado por ''","usuario_mod_distinto: creado por 'DOB', modificado por ''",15
542,32116,RENHAB,1080.58,2022-06-21,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 542 (folio 32116, código RENHAB, monto 1080.58): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'ALM', modificado por ''","usuario_mod_distinto: creado por 'ALM', modificado por ''",15
227,58874,PROPTI,13.2,2023-05-14,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 227 (folio 58874, código PROPTI, monto 13.20): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
490,143017,RENHAB,2339.92,2025-12-24,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 490 (folio 143017, código RENHAB, monto 2339.92): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
773,8953,RENHAB,-2761.85,2021-07-19,True,SIGNO_CONTABLE | USUARIO_MODIFICACION,ALTO,"Alerta en transacción 773 (folio 8953, código RENHAB, monto -2761.85): [SIGNO_CONTABLE | USUARIO_MODIFICACION] — cargo_monto_negativo: monto=-2761.85 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado; usuario_mod_distinto: creado por 'MCC', modificado por 'RFR' (monto alto)","cargo_monto_negativo: monto=-2761.85 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado | usuario_mod_distinto: creado por 'MCC', modificado por 'RFR' (monto alto)",50
221,73126,PROPTI,52.8,2023-10-01,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 221 (folio 73126, código PROPTI, monto 52.80): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
130,49512,RENHAB,1504.59,2023-02-15,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 130 (folio 49512, código RENHAB, monto 1504.59): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por ''","usuario_mod_distinto: creado por 'EGT', modificado por ''",15
679,111271,RENHAB,2542.88,2024-12-21,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 679 (folio 111271, código RENHAB, monto 2542.88): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'EGT', modificado por '' (monto alto)","usuario_mod_distinto: creado por 'EGT', modificado por '' (monto alto)",15
561,70931,RENHAB,0.0,2023-09-01,True,MONTO_ATIPICO | USUARIO_MODIFICACION,MEDIO,"Alerta en transacción 561 (folio 70931, código RENHAB, monto 0.00): [MONTO_ATIPICO | USUARIO_MODIFICACION] — monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB'; usuario_mod_distinto: creado por 'EGT', modificado por ''","monto_atipico: monto_abs=0.00, z=-2.63 (umbral ±2.0) para código 'RENHAB' | usuario_mod_distinto: creado por 'EGT', modificado por ''",40
549,44085,PROPTI,72.0,2022-11-29,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 549 (folio 44085, código PROPTI, monto 72.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'ALM', modificado por ''","usuario_mod_distinto: creado por 'ALM', modificado por ''",15
273,31118,PROPTI,72.0,2022-06-07,True,USUARIO_MODIFICACION,BAJO,"Alerta en transacción 273 (folio 31118, código PROPTI, monto 72.00): [USUARIO_MODIFICACION] — usuario_mod_distinto: creado por 'ALM', modificado por ''","usuario_mod_distinto: creado por 'ALM', modificado por ''",15
571,135013,PROPTI,-29.04,2025-08-31,True,SIGNO_CONTABLE | CANCELACION_SOSPECHOSA | USUARIO_MODIFICACION,ALTO,"Alerta en transacción 571 (folio 135013, código PROPTI, monto -29.04): [SIGNO_CONTABLE | CANCELACION_SOSPECHOSA | USUARIO_MODIFICACION] — cargo_monto_negativo: monto=-29.04 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado; folio_alto_ratio_cancelaciones: 100% de movimientos cancelados en folio; usuario_mod_distinto: creado por 'DOB', modificado por 'CEV'","cargo_monto_negativo: monto=-29.04 en CARGO (t_carabo=0); debería ser positivo o estar marcado como cancelado | folio_alto_ratio_cancelaciones: 100% de movimientos cancelados en folio | usuario_mod_distinto: creado por 'DOB', modificado por 'CEV'",75
