id_transaccion,folio,codigo,monto,fecha,es_anomalia,es_alerta_operativa,es_senal_contexto,cluster_anomalia,senales_contexto,nivel_riesgo,score_riesgo,reglas_activadas,mensaje_alerta
1,37947,RENCOM,0.08,2022-08-22,True,False,True,CONTEXTO_RESERVACION,,MEDIO,20,"noches_inconsistentes: cargo=0, reserva=4.0","Alerta tx 1 (folio 37947, cód RENCOM, monto 0.08): [CONTEXTO_RESERVACION] — noches_inconsistentes: cargo=0, reserva=4.0"
879,97220,RENHAB,-2948.08,2024-06-21,True,False,False,,"USUARIO_MODIFICACION: creado por 'VN2', modificado por 'AB9' (monto alto)",BAJO,0,,"Alerta tx 879 (folio 97220, cód RENHAB, monto -2948.08): | ctx: USUARIO_MODIFICACION: creado por 'VN2', modificado por 'AB9' (monto alto)"
740,32609,PROPTI,-48.0,2022-06-27,True,False,False,,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'EGT'",BAJO,0,,"Alerta tx 740 (folio 32609, cód PROPTI, monto -48.00): | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'EGT'"
679,9585,PROPTI,48.0,2021-07-31,True,False,False,,"USUARIO_MODIFICACION: creado por 'MCC', modificado por 'FJL'",BAJO,0,,"Alerta tx 679 (folio 9585, cód PROPTI, monto 48.00): | ctx: USUARIO_MODIFICACION: creado por 'MCC', modificado por 'FJL'"
736,54835,TARCRE,-2900.0,2023-04-09,True,False,False,,"USUARIO_MODIFICACION: creado por 'AB9', modificado por 'CEV' (monto alto)",BAJO,0,,"Alerta tx 736 (folio 54835, cód TARCRE, monto -2900.00): | ctx: USUARIO_MODIFICACION: creado por 'AB9', modificado por 'CEV' (monto alto)"
945,2065,RENHAB,1629.71,2021-04-01,True,False,False,,"USUARIO_MODIFICACION: creado por 'FJL', modificado por 'LBB'",BAJO,0,,"Alerta tx 945 (folio 2065, cód RENHAB, monto 1629.71): | ctx: USUARIO_MODIFICACION: creado por 'FJL', modificado por 'LBB'"
310,87385,RENHAB,2158.86,2024-03-22,True,False,True,CONTEXTO_RESERVACION,,MEDIO,20,"personas_inconsistentes: cargo=2, reserva=4.0","Alerta tx 310 (folio 87385, cód RENHAB, monto 2158.86): [CONTEXTO_RESERVACION] — personas_inconsistentes: cargo=2, reserva=4.0"
338,38131,PROPTI,48.0,2022-08-20,True,False,False,,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'NGA'",BAJO,0,,"Alerta tx 338 (folio 38131, cód PROPTI, monto 48.00): | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'NGA'"
758,36757,PEREXT,1711.0,2022-08-06,True,False,False,,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'NGA'",BAJO,0,,"Alerta tx 758 (folio 36757, cód PEREXT, monto 1711.00): | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'NGA'"
472,51605,RENHAB,2469.06,2023-03-10,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'OLN'",BAJO,0,,"Alerta tx 472 (folio 51605, cód RENHAB, monto 2469.06): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'OLN'"
398,9782,PROPTI,24.0,2021-07-30,True,False,False,,"USUARIO_MODIFICACION: creado por 'MCC', modificado por 'KJG'",BAJO,0,,"Alerta tx 398 (folio 9782, cód PROPTI, monto 24.00): | ctx: USUARIO_MODIFICACION: creado por 'MCC', modificado por 'KJG'"
753,111102,PROPTI,-29.04,2024-12-20,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RFR'",BAJO,0,,"Alerta tx 753 (folio 111102, cód PROPTI, monto -29.04): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RFR'"
734,141552,RENHAB,527.4,2025-11-28,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RM2'",BAJO,0,,"Alerta tx 734 (folio 141552, cód RENHAB, monto 527.40): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RM2'"
806,5295,PROPTI,-12.0,2021-05-22,True,False,False,,"USUARIO_MODIFICACION: creado por 'MCC', modificado por 'JML'",BAJO,0,,"Alerta tx 806 (folio 5295, cód PROPTI, monto -12.00): | ctx: USUARIO_MODIFICACION: creado por 'MCC', modificado por 'JML'"
419,113327,RENHAB,2532.88,2025-01-12,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'OLN' (monto alto)",BAJO,0,,"Alerta tx 419 (folio 113327, cód RENHAB, monto 2532.88): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'OLN' (monto alto)"
672,84761,RENHAB,541.92,2024-02-23,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'AFG'",BAJO,0,,"Alerta tx 672 (folio 84761, cód RENHAB, monto 541.92): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'AFG'"
429,34032,PROPTI,24.0,2022-07-12,True,False,False,,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'RRN'",BAJO,0,,"Alerta tx 429 (folio 34032, cód PROPTI, monto 24.00): | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'RRN'"
330,13629,PROPTI,48.0,2021-10-09,True,False,False,,"USUARIO_MODIFICACION: creado por 'ALM', modificado por 'HMR'",BAJO,0,,"Alerta tx 330 (folio 13629, cód PROPTI, monto 48.00): | ctx: USUARIO_MODIFICACION: creado por 'ALM', modificado por 'HMR'"
382,99664,RENHAB,2821.85,2024-07-20,True,False,False,,"USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RFR' (monto alto)",BAJO,0,,"Alerta tx 382 (folio 99664, cód RENHAB, monto 2821.85): | ctx: USUARIO_MODIFICACION: creado por 'EGT', modificado por 'RFR' (monto alto)"
